index,datetime,ticker,price,prev_close,change,volume,perf_week,perf_month,perf_quarter,perf_year,perf_ytd,1_day_article_count,1_day_sentiment_avg,2_day_article_count,2_day_sentiment_avg,3_day_article_count,3_day_sentiment_avg,4_day_article_count,4_day_sentiment_avg,7_day_article_count,7_day_sentiment_avg,10_day_article_count,10_day_sentiment_avg,14_day_article_count,14_day_sentiment_avg,21_day_article_count,21_day_sentiment_avg,28_day_article_count,28_day_sentiment_avg,42_day_article_count,42_day_sentiment_avg,60_day_article_count,60_day_sentiment_avg,75_day_article_count,75_day_sentiment_avg,90_day_article_count,90_day_sentiment_avg,100_day_article_count,100_day_sentiment_avg,120_day_article_count,120_day_sentiment_avg,150_day_article_count,150_day_sentiment_avg,180_day_article_count,180_day_sentiment_avg
14,1/11/2023,AAPL,130.73,130.15,0.45,63746676,4.53,-8.36,-6.9,-24.07,0.62,100,0.014682,200,0.0177275,200,0.0177275,200,0.0177275,700,0.029755571,800,0.037048875,1200,0.050241917,1600,0.049839188,2000,0.0580959,2700,0.039873704,3900,0.02792259,4300,0.024637744,5200,0.028483212,5500,0.029779909,6399,0.042652196,7099,0.045755275,8499,0.050505165
15,1/12/2023,AAPL,133.49,130.73,2.11,69217650,5.64,-6.1,-3.95,-22.48,2.74,100,0.014682,200,0.0177275,200,0.0177275,200,0.0177275,600,0.024188333,800,0.037048875,1100,0.049646636,1400,0.051753357,1900,0.056625842,2700,0.039873704,3900,0.02792259,4300,0.024637744,5200,0.028483212,5500,0.029779909,6199,0.038796306,7099,0.045755275,8399,0.050946422
16,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
17,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
18,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
19,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
20,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
21,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
22,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
23,2/14/2023,AAPL,153.85,151.01,1.88,61897230,1.4,15.32,4.75,-10.61,18.41,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,100,0.150519,1100,0.039311545,2000,0.0504616,3000,0.040420867,3900,0.032508641,4500,0.025562356,5500,0.029402964,6199,0.034257412,7399,0.045738654
